Size, time(nanoseconds)
10000,92425
20000,69513
30000,32013
40000,22618
50000,39427
60000,22052
70000,22394
80000,26917
90000,15715
100000,16100
110000,15793
120000,17374
130000,17475
140000,18491
150000,17181
160000,17760
170000,17765
180000,17499
190000,18003
200000,18224
210000,18039
220000,18039
230000,18014
240000,22856
250000,18639
260000,18225
270000,19083
280000,37663
290000,19376
300000,19024
310000,20078
320000,19092
330000,18806
340000,18531
350000,18791
360000,46649
370000,33552
380000,46422
390000,38696
400000,20450
410000,19402
420000,19122
430000,19365
440000,20723
450000,19346
460000,19142
470000,19510
480000,20069
490000,36743
