Tamaño, Salida Nanosegundos
10000,48331
20000,46879
30000,47615
40000,51184
50000,52147
60000,52692
70000,54532
80000,55795
90000,55029
100000,55621
110000,55289
120000,57331
130000,56484
140000,59455
150000,60276
160000,61708
170000,59483
180000,59888
190000,59538
200000,62214
210000,65288
220000,102718
230000,105321
240000,148512
250000,140045
260000,141658
270000,184856
280000,213567
290000,233041
300000,234357
310000,314701
320000,258059
330000,263156
340000,259176
350000,258000
360000,327448
370000,272006
380000,272798
390000,272269
400000,264350
410000,261650
420000,258019
430000,309859
440000,260903
450000,262309
460000,267497
470000,269709
480000,264148
490000,257512
