Size, time(nanoseconds)
10000,4343000
20000,4746717
30000,4837624
40000,5206882
50000,5258047
60000,5252410
70000,5488863
80000,5633052
90000,5537455
100000,5686834
110000,5659857
120000,5885210
130000,6155459
140000,7088381
150000,7236367
160000,12659876
170000,18337617
180000,18742286
190000,23583812
200000,24102459
210000,24009421
220000,23561909
230000,24607750
240000,25793261
250000,24690692
260000,25275288
270000,25568164
280000,28379732
290000,50852229
300000,57091640
310000,43461079
320000,35333856
330000,42722289
340000,46743402
350000,29485950
360000,57707174
370000,48974265
380000,31993054
390000,31581735
400000,29771352
410000,29403226
420000,27494218
430000,28798295
440000,29983227
450000,31039155
460000,30756277
470000,31616311
480000,31457362
490000,31442347
500000,31574785
510000,31855837
520000,31984924
530000,33748150
540000,34978361
550000,42174670
560000,37740359
570000,44735037
580000,37853232
590000,37613721
600000,37842285
610000,37490596
620000,37834714
630000,37904503
640000,38789118
