Tamaño, tiempo
10000,1301
20000,2336
30000,3573
40000,4816
50000,6070
60000,7312
70000,8574
80000,9885
90000,11178
100000,12464
110000,13752
120000,15067
130000,16394
140000,17690
150000,19045
160000,20369
170000,21784
180000,23044
190000,24356
200000,25735
210000,27074
220000,28452
230000,29778
240000,31124
250000,32489
260000,33890
270000,35201
280000,36666
290000,37998
300000,39397
310000,40758
320000,42174
330000,43560
340000,44943
350000,46396
360000,47673
370000,49103
380000,50533
390000,52135
400000,53320
410000,54712
420000,55983
430000,57476
440000,59227
450000,60273
460000,62033
470000,63145
480000,64455
490000,65935
