Size, time(nanoseconds)
10000,453689
20000,463301
30000,472841
40000,507218
50000,516365
60000,521285
70000,546909
80000,562770
90000,555045
100000,555695
110000,590085
120000,691391
130000,577848
140000,602260
150000,587466
160000,617835
170000,610390
180000,699721
190000,709832
200000,730416
210000,745199
220000,1012669
230000,1116116
240000,1399299
250000,1590655
260000,1731276
270000,1944094
280000,2327712
290000,2154434
300000,2293616
310000,2266477
320000,2366794
330000,2344261
340000,2462973
350000,2493346
360000,2663112
370000,2586793
380000,2611776
390000,2680945
400000,2798288
410000,2682623
420000,2776071
430000,2768493
440000,2716522
450000,2817680
460000,2872013
470000,2861300
480000,2659312
490000,2643404
500000,2822064
510000,2736450
520000,2902307
530000,3315934
540000,3429028
550000,3409327
560000,3480172
570000,3521820
580000,3567272
590000,3414354
600000,3475870
610000,3414629
620000,3549224
630000,3646906
640000,3593891
650000,3538913
660000,3517211
670000,3609043
680000,3618800
690000,3650553
700000,3608094
710000,3704823
720000,4040488
730000,3702843
740000,3737084
750000,3821848
760000,3749928
770000,3928770
780000,3737517
790000,3662900
800000,3871676
810000,3813343
820000,3844224
830000,3820582
840000,3867156
850000,4034992
860000,3933142
870000,5307263
880000,4342705
890000,4552397
900000,4494907
910000,4422898
920000,4377446
930000,4370984
940000,4672528
950000,4323128
960000,4169796
970000,4347806
980000,3988899
990000,4003262
1000000,3945640
1010000,4109304
1020000,4154131
1030000,3966153
1040000,4117371
1050000,4049816
1060000,4266332
1070000,4493858
1080000,4638238
1090000,4418358
1100000,4294063
1110000,4043192
1120000,4090824
1130000,3989358
1140000,4111776
